template_id,language,subject_template,body_template,allowed_path_patterns,sensitivity,version,tags,locked,last_updated
tpl_qual_degrees,da,"Information om adgangsgivende uddannelser for ansøgere fra {country_name}","Hej {applicant_name},\n\nTak for din henvendelse om adgangsgrundlaget til {program}.\n\nIfølge vores oversigt for {country_name} gælder følgende (kort):\n{requirements_cache}\n\nSe altid den officielle beskrivelse her: {requirements_url}\n\nHvis du ønsker en vurdering af din specifikke dokumentation, så svar venligst med:\n- Hvilken eksamen/uddannelse du har (fx STX, IB, Gaokao, A-levels)\n- Udgivelsesår og eventuelle karakterer eller fagkombinationer\n- Hvis muligt: upload kopi eller link til dokumentation\n\nMed venlig hilsen\nAdmissionsenheden","DK/qualifying_degrees/*,*/qualifying_degrees/*",normal,1,"qualifying,education",false,2025-11-06T00:00:00Z
tpl_specific_requirements,da,"Specifikke adgangskrav for {program}","Hej {applicant_name},\n\nDe specifikke adgangskrav for {program} er som følger:\n{requirements_cache}\n\nSe program‑siden for detaljer: {requirements_url}\n\nVenlig hilsen\nAdmissionsenheden","DK/specific_admission/*/*",normal,1,"program,specific",false,2025-11-06T00:00:00Z
tpl_preassessment_unavailable,da,"Forhåndsvurdering for fulde bachelorprogrammer","Hej {applicant_name},\n\nVi tilbyder ikke længere forhåndsvurdering for fulde bachelorprogrammer. Du kan ansøge om optagelse, og vi vil herefter vurdere dine kvalifikationer i forbindelse med ansøgningen. Se mere her: {requirements_url}\n\nMed venlig hilsen\nAdmissionsenheden","*/pre_assessment/*",normal,1,"preassessment",false,2025-11-06T00:00:00Z
tpl_deadlines_docs,da,"Dokumentationsfrist og sen upload","Hej {applicant_name},\n\nDokumentationsfristen er {deadline_date} kl. 12:00. Hvis du ikke kan nå at uploade inden fristen, anbefaler vi at du stadig uploader så hurtigt som muligt — sen upload kan blive vurderet men vi kan ikke garantere at materialet nås. Der kan blive publiceret en liste over ledige pladser den 28. juli.\n\nSe detaljer: {requirements_url}\n\nMed venlig hilsen\nAdmissionsenheden","*/deadlines/*",normal,1,"deadlines,documentation",false,2025-11-06T00:00:00Z
tpl_assessment_method,da,"Hvordan vi vurderer faglige niveauer","Hej {applicant_name},\n\nNår vi vurderer faglige niveauer, ser vi bl.a. på kursusbeskrivelser, undervisningstimer og tidligere erfaring med den konkrete eksamenstype. Vi kan ikke altid foretage en vurdering ud fra begrænset dokumentation — i så fald bedes du indsende en ansøgning om formel vurdering.\n\nSe mere: {requirements_url}\n\nVenlig hilsen\nAdmissionsenheden","*/document_assessment/*",normal,1,"assessment",false,2025-11-06T00:00:00Z
tpl_poland_certificates,en,"Dokumentation fra Polen - midlertidig accept","Hello {applicant_name},\n\nFor applicants from Poland: in some cases we can accept certificates issued and certified by the school director/vice-director as valid final results, provided they contain the same information as the official certificate. Please upload the document and we will verify it in the application.",PL/documentation_acceptance/*,normal,1,"poland,certificates",false,2025-11-06T00:00:00Z
tpl_status_info,da,"Status på din ansøgning","Hej {applicant_name},\n\nTak for din henvendelse. Vi har endnu ikke vurderet din ansøgning. Myapplication.au.dk viser ikke altid korrekt information for ikke-danske kvalifikationer før senere i processen. Du vil blive informeret, og det endelige svar sendes normalt den 28. juli.\n\nHvis vi har brug for yderligere dokumentation, kontakter vi dig via e-mail.\n\nVenlig hilsen\nAdmissionsenheden","*/application_status/*",normal,1,"status,processing",false,2025-11-06T00:00:00Z
tpl_subject_description,da,"Hvad dækker faget Social Science?","Hej {applicant_name},\n\nSocial Science dækker blandt andet økonomi, sociologi og politik. Faget fokuserer på økonomiens rolle i samfundet, sociologiske perspektiver og politiske forhold snarere end ren matematisk økonomi.\n\nHvis du ønsker vurdering af et specifikt kursus, send kursusbeskrivelse og timeantal.\n\nVenlig hilsen\nAdmissionsenheden","*/subject_equivalence/*",normal,1,"subject,description",false,2025-11-06T00:00:00Z
tpl_supplementary_courses,en,"Accepted supplementary courses and external tests","Hello {applicant_name},\n\nWe accept certain external courses/tests as equivalent to Danish levels, for example AP tests (College Board), AS/A-levels (with final exam and certificate from recognised exam boards) and certain VWO mathematics courses when completed with final exam. Supplementary courses must be completed with an exam and grade.\n\nIf you propose a course, please send course syllabus and exam arrangement for evaluation.\n\nBest regards\nAdmissions Office","*/supplementary_courses/*",normal,1,"supplementary,courses",false,2025-11-06T00:00:00Z
tpl_language_dispensation,da,"Sprogtest og dispensation","Hej {applicant_name},\n\nVi kan i visse tilfælde give dispensation for karakterangivelse på engelske tests. Selvom karakteren i systemet vises som 0, kan testen stadig opfylde sprogkravet. For konkret vejledning, se: {requirements_url}\n\nVenlig hilsen\nAdmissionsenheden","*/language/*",normal,1,"language,dispensation",false,2025-11-06T00:00:00Z
